t,rbank
2017-11-20,1.63%
2017-11-21,0.39%
2017-11-22,2.41%
2017-11-23,-1.45%
2017-11-24,0.30%
2017-11-27,-0.65%
2017-11-28,-1.49%
2017-11-29,0.16%
2017-11-30,-0.46%
2017-12-01,-0.65%
2017-12-04,0.27%
2017-12-05,1.79%
2017-12-06,-1.12%
2017-12-07,-0.91%
2017-12-08,-0.20%
2017-12-11,0.35%
2017-12-12,-1.43%
2017-12-13,0.46%
2017-12-14,-0.45%
2017-12-15,-1.21%
2017-12-18,0.31%
2017-12-19,1.57%
2017-12-20,-0.02%
2017-12-21,0.17%
2017-12-22,-0.67%
2017-12-25,-0.05%
2017-12-26,1.11%
2017-12-27,-1.20%
2017-12-28,-0.29%
2017-12-29,0.72%
2018-01-02,1.30%
2018-01-03,0.23%
2018-01-04,-0.33%
2018-01-05,0.33%
2018-01-08,-0.34%
2018-01-09,0.01%
2018-01-10,2.16%
2018-01-11,0.42%
2018-01-12,0.47%
2018-01-15,1.59%
2018-01-16,0.35%
2018-01-17,1.02%
2018-01-18,2.07%
2018-01-19,0.93%
2018-01-22,-0.95%
2018-01-23,3.21%
2018-01-24,0.61%
2018-01-25,-0.79%
2018-01-26,0.18%
2018-01-29,-0.55%
2018-01-30,-1.88%
2018-01-31,1.73%
2018-02-01,1.11%
2018-02-02,-0.40%
2018-02-05,3.39%
2018-02-06,-1.68%
2018-02-07,-3.33%
2018-02-08,-3.45%
2018-02-09,-3.34%
2018-02-12,-1.09%
2018-02-13,1.50%
2018-02-14,0.24%
2018-02-22,1.93%
2018-02-23,0.84%
2018-02-26,0.00%
2018-02-27,-2.08%
2018-02-28,-1.39%
2018-03-01,0.24%
2018-03-02,-0.76%
2018-03-05,-0.21%
2018-03-06,0.27%
2018-03-07,0.55%
2018-03-08,-0.01%
2018-03-09,0.12%
2018-03-12,-0.45%
2018-03-13,0.02%
2018-03-14,-0.91%
2018-03-15,0.00%
2018-03-16,-1.02%
2018-03-19,0.48%
2018-03-20,0.50%
2018-03-21,0.09%
2018-03-22,-0.49%
2018-03-23,-2.49%
2018-03-26,-2.48%
2018-03-27,-0.20%
2018-03-28,-0.08%
2018-03-29,1.50%
2018-03-30,-0.82%
2018-04-02,-0.73%
2018-04-03,-0.80%
2018-04-04,-0.05%
2018-04-09,0.02%
2018-04-10,2.95%
2018-04-11,1.08%
2018-04-12,-1.51%
2018-04-13,-0.73%
2018-04-16,-2.88%
2018-04-17,-0.46%
2018-04-18,1.09%
2018-04-19,0.32%
2018-04-20,-0.78%
2018-04-23,0.33%
2018-04-24,1.74%
2018-04-25,-1.03%
2018-04-26,-0.48%
2018-04-27,0.53%
2018-05-02,-0.29%
2018-05-03,-0.36%
2018-05-04,-0.75%
2018-05-07,0.61%
2018-05-08,1.28%
2018-05-09,0.02%
2018-05-10,0.14%
2018-05-11,0.45%
2018-05-14,0.80%
2018-05-15,-0.33%
2018-05-16,-1.40%
2018-05-17,-0.21%
2018-05-18,1.28%
2018-05-21,0.04%
2018-05-22,-0.85%
2018-05-23,-1.21%
2018-05-24,-0.64%
2018-05-25,-0.28%
2018-05-28,-0.35%
2018-05-29,-0.21%
2018-05-30,-2.06%
2018-05-31,0.96%
2018-06-01,-0.02%
2018-06-04,0.97%
2018-06-05,-0.24%
2018-06-06,-0.81%
2018-06-07,0.39%
2018-06-08,-1.81%
2018-06-11,0.22%
2018-06-12,-0.01%
2018-06-13,-0.49%
2018-06-14,0.16%
2018-06-15,0.45%
2018-06-19,-0.96%
2018-06-20,-0.74%
2018-06-21,-0.12%
2018-06-22,-0.07%
2018-06-25,-2.02%
2018-06-26,-1.72%
2018-06-27,-1.50%
2018-06-28,-0.69%
2018-06-29,1.38%
2018-07-02,-3.38%
2018-07-03,0.44%
2018-07-04,-0.31%
2018-07-05,0.56%
2018-07-06,0.69%
2018-07-09,3.31%
2018-07-10,-0.37%
2018-07-11,-1.21%
2018-07-12,1.00%
2018-07-13,-0.81%
2018-07-16,-2.08%
2018-07-17,-0.68%
2018-07-18,-0.18%
2018-07-19,-0.05%
2018-07-20,4.19%
2018-07-23,1.77%
2018-07-24,0.45%
2018-07-25,0.18%
2018-07-26,-0.59%
2018-07-27,-0.25%
2018-07-30,1.14%
2018-07-31,0.19%
2018-08-01,-1.87%
2018-08-02,-1.98%
2018-08-03,0.14%
2018-08-06,0.57%
2018-08-07,2.03%
2018-08-08,-1.18%
2018-08-09,1.45%
2018-08-10,-0.64%
2018-08-13,-1.52%
2018-08-14,-0.27%
2018-08-15,-1.86%
2018-08-16,0.25%
2018-08-17,-0.67%
2018-08-20,1.52%
2018-08-21,0.70%
2018-08-22,-0.34%
2018-08-23,0.30%
2018-08-24,2.03%
2018-08-27,1.31%
2018-08-28,-0.29%
2018-08-29,-0.17%
2018-08-30,-1.26%
2018-08-31,0.89%
2018-09-03,-0.15%
2018-09-04,1.16%
2018-09-05,-2.19%
2018-09-06,-0.38%
2018-09-07,0.44%
2018-09-10,-0.44%
2018-09-11,-0.80%
2018-09-12,0.10%
