t,rnbank
2019-01-09,1.07%
2019-01-10,-0.22%
2019-01-11,0.72%
2019-01-14,-0.96%
2019-01-15,2.57%
2019-01-16,-0.18%
2019-01-17,-0.44%
2019-01-18,1.75%
2019-01-21,0.44%
2019-01-22,-1.47%
2019-01-23,-0.44%
2019-01-24,1.44%
2019-01-25,0.71%
2019-01-28,0.09%
2019-01-29,-0.23%
2019-01-30,-1.01%
2019-01-31,2.11%
2019-02-01,1.34%
2019-02-11,1.62%
2019-02-12,0.35%
2019-02-13,2.43%
2019-02-14,-0.25%
2019-02-15,-2.58%
2019-02-18,4.51%
2019-02-19,0.80%
2019-02-20,0.66%
2019-02-21,0.09%
2019-02-22,5.95%
2019-02-25,9.16%
2019-02-26,-2.78%
2019-02-27,-0.51%
2019-02-28,-2.12%
2019-03-01,3.43%
2019-03-04,0.43%
2019-03-05,-0.28%
2019-03-06,2.88%
2019-03-07,0.66%
2019-03-08,-6.17%
2019-03-11,0.84%
2019-03-12,0.81%
2019-03-13,0.22%
2019-03-14,-1.13%
2019-03-15,1.39%
2019-03-18,2.03%
2019-03-19,-0.48%
2019-03-20,1.22%
2019-03-21,0.51%
2019-03-22,-1.15%
2019-03-25,-3.54%
2019-03-26,-1.48%
2019-03-27,1.01%
2019-03-28,-1.06%
2019-03-29,6.20%
2019-04-01,2.06%
2019-04-02,0.21%
2019-04-03,3.01%
2019-04-04,0.35%
2019-04-08,-0.88%
2019-04-09,0.10%
2019-04-10,-0.42%
2019-04-11,-1.73%
2019-04-12,0.13%
2019-04-15,-0.21%
2019-04-16,3.36%
2019-04-17,-0.70%
2019-04-18,-0.24%
2019-04-19,2.20%
2019-04-22,-2.66%
2019-04-23,0.69%
2019-04-24,-0.13%
2019-04-25,-2.46%
2019-04-26,0.06%
2019-04-29,-0.08%
2019-04-30,-0.10%
2019-05-06,-7.88%
2019-05-07,0.55%
2019-05-08,-2.19%
2019-05-09,-2.19%
2019-05-10,5.20%
2019-05-13,-2.96%
2019-05-14,-0.71%
2019-05-15,2.30%
2019-05-16,0.20%
2019-05-17,-3.20%
2019-05-20,-0.21%
2019-05-21,1.05%
2019-05-22,-0.82%
2019-05-23,-1.55%
2019-05-24,0.64%
2019-05-27,1.76%
2019-05-28,0.68%
2019-05-29,1.26%
2019-05-30,-1.28%
2019-05-31,-0.49%
2019-06-03,0.19%
2019-06-04,-1.05%
2019-06-05,0.03%
2019-06-06,-0.70%
2019-06-10,0.75%
2019-06-11,3.91%
2019-06-12,-1.27%
2019-06-13,0.31%
2019-06-14,-1.38%
2019-06-17,0.47%
2019-06-18,0.55%
2019-06-19,2.49%
2019-06-20,5.71%
2019-06-21,0.59%
2019-06-24,0.03%
2019-06-25,-1.02%
2019-06-26,-1.06%
2019-06-27,1.60%
2019-06-28,0.11%
2019-07-01,2.94%
2019-07-02,-0.93%
2019-07-03,-1.28%
2019-07-04,-0.49%
2019-07-05,0.50%
2019-07-08,-2.69%
2019-07-09,-0.19%
2019-07-10,0.16%
2019-07-11,0.24%
2019-07-12,1.00%
2019-07-15,0.54%
2019-07-16,-0.86%
2019-07-17,-0.18%
2019-07-18,-0.73%
2019-07-19,1.78%
2019-07-22,-1.48%
2019-07-23,0.00%
2019-07-24,1.33%
2019-07-25,0.53%
2019-07-26,0.09%
2019-07-29,-1.08%
2019-07-30,0.94%
2019-07-31,-1.41%
2019-08-01,-0.94%
2019-08-02,-2.57%
2019-08-05,-1.96%
2019-08-06,-0.44%
2019-08-07,-1.30%
2019-08-08,1.29%
2019-08-09,-0.78%
2019-08-12,2.28%
2019-08-13,-1.65%
2019-08-14,0.07%
2019-08-15,0.69%
2019-08-16,0.72%
2019-08-19,3.88%
2019-08-20,-0.70%
2019-08-21,-0.18%
2019-08-22,0.16%
2019-08-23,0.97%
2019-08-26,-2.23%
2019-08-27,1.07%
2019-08-28,-1.19%
2019-08-29,-0.51%
2019-08-30,0.18%
2019-09-02,1.60%
2019-09-03,-0.06%
2019-09-04,0.94%
2019-09-05,1.94%
2019-09-06,1.22%
2019-09-09,0.38%
2019-09-10,-0.44%
2019-09-11,0.52%
2019-09-12,2.12%
2019-09-16,-1.39%
2019-09-17,-2.43%
2019-09-18,-0.09%
2019-09-19,0.17%
2019-09-20,-0.11%
2019-09-23,-1.35%
2019-09-24,-0.08%
2019-09-25,-0.46%
2019-09-26,-0.81%
2019-09-27,0.29%
2019-09-30,-1.85%
2019-10-08,0.32%
2019-10-09,0.27%
2019-10-10,0.52%
2019-10-11,1.68%
2019-10-14,1.09%
2019-10-15,-0.80%
2019-10-16,0.02%
2019-10-17,0.31%
2019-10-18,-2.21%
2019-10-21,-0.05%
2019-10-22,0.35%
2019-10-23,-0.82%
2019-10-24,0.28%
2019-10-25,-0.48%
2019-10-28,1.05%
2019-10-29,-1.33%
2019-10-30,-0.43%
2019-10-31,0.06%
2019-11-01,1.69%
2019-11-04,0.46%
2019-11-05,0.59%
2019-11-06,-0.57%
2019-11-07,0.15%
2019-11-08,-0.90%
2019-11-11,-1.40%
2019-11-12,0.19%
2019-11-13,-0.82%
2019-11-14,-0.08%
2019-11-15,-0.56%
2019-11-18,1.05%
2019-11-19,0.42%
2019-11-20,-1.35%
2019-11-21,-1.02%
2019-11-22,-0.99%
2019-11-25,0.72%
2019-11-26,0.07%
2019-11-27,-0.68%
2019-11-28,-0.38%
2019-11-29,-0.34%
2019-12-02,0.18%
2019-12-03,0.82%
2019-12-04,-0.31%
2019-12-05,1.21%
2019-12-06,0.24%
2019-12-09,-0.62%
2019-12-10,-0.14%
2019-12-11,0.40%
2019-12-12,-0.22%
2019-12-13,3.49%
2019-12-16,0.18%
2019-12-17,1.59%
2019-12-18,-0.03%
2019-12-19,-0.42%
2019-12-20,0.04%
2019-12-23,-2.01%
2019-12-24,0.57%
2019-12-25,-0.19%
2019-12-26,1.49%
2019-12-27,-0.92%
2019-12-30,3.80%
2019-12-31,-0.53%
2020-01-02,0.91%
2020-01-03,0.09%
2020-01-06,-0.45%
2020-01-07,0.70%
2020-01-08,-2.40%
2020-01-09,0.95%
2020-01-10,0.00%
2020-01-13,1.55%
2020-01-14,-0.54%
2020-01-15,-0.81%
2020-01-16,-0.57%
2020-01-17,0.50%
2020-01-20,1.56%
2020-01-21,-2.21%
2020-01-22,0.18%
2020-01-23,-3.40%
2020-02-03,-9.08%
2020-02-04,1.79%
2020-02-05,0.60%
2020-02-06,1.92%
2020-02-07,-0.21%
2020-02-10,0.02%
2020-02-11,0.42%
2020-02-12,0.76%
2020-02-13,-1.30%
2020-02-14,1.27%
2020-02-17,3.41%
2020-02-18,-0.85%
2020-02-19,0.26%
2020-02-20,4.08%
2020-02-21,-0.41%
2020-02-24,-1.04%
2020-02-25,0.04%
2020-02-26,-1.27%
2020-02-27,-0.01%
2020-02-28,-4.76%
2020-03-02,3.50%
2020-03-03,0.33%
2020-03-04,1.93%
2020-03-05,2.65%
2020-03-06,-2.72%
2020-03-09,-3.58%
2020-03-10,2.29%
2020-03-11,-2.18%
2020-03-12,-1.59%
2020-03-13,-1.62%
2020-03-16,-4.84%
2020-03-17,0.23%
2020-03-18,-2.92%
2020-03-19,-0.84%
2020-03-20,1.35%
2020-03-23,-3.53%
2020-03-24,2.70%
2020-03-25,2.02%
2020-03-26,-0.99%
2020-03-27,-0.03%
2020-03-30,-1.00%
2020-03-31,-0.31%
2020-04-01,-0.13%
2020-04-02,1.29%
2020-04-03,-1.33%
2020-04-07,1.93%
2020-04-08,-0.62%
2020-04-09,0.67%
2020-04-10,0.00%
2020-04-13,-0.87%
2020-04-14,1.98%
2020-04-15,-0.80%
2020-04-16,0.36%
2020-04-17,1.24%
2020-04-20,0.84%
2020-04-21,-1.59%
2020-04-22,0.00%
2020-04-23,-0.38%
2020-04-24,-1.84%
2020-04-27,0.44%
2020-04-28,1.36%
2020-04-29,1.31%
2020-04-30,1.36%
2020-05-06,-0.36%
2020-05-07,-0.78%
2020-05-08,0.73%
2020-05-11,0.16%
2020-05-12,-0.29%
2020-05-13,-0.21%
2020-05-14,-1.48%
2020-05-15,-0.04%
2020-05-18,-0.31%
