t,rhouse
2018-12-26,-0.34%
2018-12-27,-0.50%
2018-12-28,1.13%
2019-01-02,-1.00%
2019-01-03,0.53%
2019-01-04,3.08%
2019-01-07,0.58%
2019-01-08,-0.70%
2019-01-09,1.00%
2019-01-10,-1.04%
2019-01-11,0.79%
2019-01-14,-0.88%
2019-01-15,0.70%
2019-01-16,0.64%
2019-01-17,-0.81%
2019-01-18,1.83%
2019-01-21,-0.57%
2019-01-22,-0.28%
2019-01-23,-0.34%
2019-01-24,0.30%
2019-01-25,2.15%
2019-01-28,-0.26%
2019-01-29,2.94%
2019-01-30,0.93%
2019-01-31,1.10%
2019-02-01,0.17%
2019-02-11,0.94%
2019-02-12,-0.06%
2019-02-13,1.88%
2019-02-14,-0.09%
2019-02-15,-3.28%
2019-02-18,2.58%
2019-02-19,-0.81%
2019-02-20,2.35%
2019-02-21,-1.50%
2019-02-22,0.57%
2019-02-25,5.03%
2019-02-26,-1.47%
2019-02-27,0.93%
2019-02-28,-0.13%
2019-03-01,0.77%
2019-03-04,3.71%
2019-03-05,1.96%
2019-03-06,-0.96%
2019-03-07,-2.76%
2019-03-08,-4.24%
2019-03-11,1.18%
2019-03-12,0.48%
2019-03-13,1.87%
2019-03-14,-1.38%
2019-03-15,3.24%
2019-03-18,4.59%
2019-03-19,-0.93%
2019-03-20,0.92%
2019-03-21,-0.22%
2019-03-22,-0.91%
2019-03-25,-2.99%
2019-03-26,-0.42%
2019-03-27,1.69%
2019-03-28,-1.31%
2019-03-29,5.89%
2019-04-01,3.33%
2019-04-02,-0.45%
2019-04-03,1.05%
2019-04-04,-0.32%
2019-04-08,-0.69%
2019-04-09,4.23%
2019-04-10,-1.53%
2019-04-11,-2.90%
2019-04-12,-1.66%
2019-04-15,-0.90%
2019-04-16,2.22%
2019-04-17,-2.07%
2019-04-18,-1.00%
2019-04-19,1.49%
2019-04-22,-5.79%
2019-04-23,0.46%
2019-04-24,0.30%
2019-04-25,-1.30%
2019-04-26,-1.03%
2019-04-29,0.53%
2019-04-30,0.35%
2019-05-06,-6.23%
2019-05-07,2.13%
2019-05-08,-1.28%
2019-05-09,-2.05%
2019-05-10,3.48%
2019-05-13,-0.43%
2019-05-14,-0.82%
2019-05-15,1.59%
2019-05-16,0.97%
2019-05-17,-3.09%
2019-05-20,-0.65%
2019-05-21,0.88%
2019-05-22,-0.32%
2019-05-23,-1.83%
2019-05-24,-0.03%
2019-05-27,0.85%
2019-05-28,1.19%
2019-05-29,-1.56%
2019-05-30,-0.86%
2019-05-31,0.18%
2019-06-03,-0.64%
2019-06-04,-0.54%
2019-06-05,2.26%
2019-06-06,-0.48%
2019-06-10,2.02%
2019-06-11,1.99%
2019-06-12,139.02%
2019-06-13,-140.93%
2019-06-14,0.29%
2019-06-17,-0.26%
2019-06-18,-0.52%
2019-06-19,0.12%
2019-06-20,2.30%
2019-06-21,-0.16%
2019-06-24,0.04%
2019-06-25,-0.74%
2019-06-26,-0.31%
2019-06-27,0.58%
2019-06-28,-0.48%
2019-07-01,2.32%
2019-07-02,0.88%
2019-07-03,1.15%
2019-07-04,0.67%
2019-07-05,-1.43%
2019-07-08,-1.90%
2019-07-09,-0.37%
2019-07-10,-0.70%
2019-07-11,-0.64%
2019-07-12,0.65%
2019-07-15,-0.11%
2019-07-16,1.03%
2019-07-17,0.62%
2019-07-18,-0.88%
2019-07-19,2.90%
2019-07-22,0.14%
2019-07-23,-2.24%
2019-07-24,0.01%
2019-07-25,0.28%
2019-07-26,0.01%
2019-07-29,-0.63%
2019-07-30,0.78%
2019-07-31,-3.28%
2019-08-01,-1.84%
2019-08-02,-1.09%
2019-08-05,-3.06%
2019-08-06,0.00%
2019-08-07,0.97%
2019-08-08,0.24%
2019-08-09,-1.74%
2019-08-12,2.01%
2019-08-13,-1.15%
2019-08-14,-0.30%
2019-08-15,0.20%
2019-08-16,-0.09%
2019-08-19,3.27%
2019-08-20,0.46%
2019-08-21,0.05%
2019-08-22,-0.73%
2019-08-23,-0.07%
2019-08-26,-1.37%
2019-08-27,0.63%
2019-08-28,-0.19%
2019-08-29,-2.67%
2019-08-30,-0.90%
2019-09-02,0.60%
2019-09-03,-0.57%
2019-09-04,3.18%
2019-09-05,-0.22%
2019-09-06,0.53%
2019-09-09,1.09%
2019-09-10,-0.19%
2019-09-11,-0.32%
2019-09-12,2.80%
2019-09-16,-0.94%
2019-09-17,-1.22%
2019-09-18,1.16%
2019-09-19,-0.27%
2019-09-20,-0.39%
2019-09-23,-1.84%
2019-09-24,-0.06%
2019-09-25,-0.34%
2019-09-26,0.45%
